id,title,description,category,price
1,Logitech G Pro X Superlight,Ultra-lightweight wireless gaming mouse engineered for esports pros.,mouse,12995
2,Keychron K8 Pro,QMK/VIA wireless mechanical keyboard with hot-swappable switches.,keyboard,9999
3,Sony WH-1000XM5,Premium noise-canceling wireless headphones with industry-leading ANC.,headphones,29990
4,Dell 27 4K UHD Monitor,27-inch 4K monitor perfect for coding and professional design work.,monitor,32000
5,PlayStation Store Gift Card ₹1000,Add funds to your PlayStation Network wallet to buy games.,gift cards,1000
6,Razer BlackWidow V3,Premium mechanical gaming keyboard with green tactile switches.,keyboard,11500
7,HyperX Cloud II Gaming Headset,Comfortable gaming headset with 7.1 surround sound.,headphones,7990
8,LG 24 inch IPS Monitor,Affordable 1080p monitor for office work and coding.,monitor,9500
9,Razer DeathAdder Essential,Classic ergonomic wired gaming mouse for everyday use.,mouse,1499
10,Xbox Game Pass Ultimate - 3 Months,Access to hundreds of high-quality games on console and PC.,gaming,2099
11,Apple AirPods Pro (2nd Gen),True wireless earbuds with active noise cancellation and spatial audio.,electronics,24900
12,Amazon Pay eGift Card ₹5000,Send Amazon Pay balance instantly to friends or family.,gift cards,5000
13,Keychron K2 Wireless Mechanical Keyboard,Compact wireless mechanical keyboard for Mac and Windows.,keyboard,8499
14,SteelSeries Aerox 3 Wireless,Ultra-lightweight gaming mouse with water resistance.,mouse,8999
15,Acer Nitro VG270P 27 inch 144Hz Monitor,High refresh rate gaming monitor for competitive esports.,monitor,15000
16,JBL Flip 6 Portable Bluetooth Speaker,Waterproof portable speaker with powerful sound.,electronics,11999
17,Logitech MX Master 3S,Advanced wireless mouse for productivity and coding.,mouse,8995
18,Steam Gift Card ₹2500,Wallet code to purchase PC games on the Steam platform.,gift cards,2500
19,Corsair K60 RGB Pro,Mechanical gaming keyboard with cherry MX low profile switches.,keyboard,7499
20,Sennheiser HD 599 Open Back Headphones,Audiophile-grade open back headphones for critical listening.,headphones,12990
21,Anker USB-C Hub 7-in-1,Multi-port adapter for modern laptops and MacBooks.,accessories,3499
22,BenQ GW2480 24 inch Eye Care Monitor,Affordable budget monitor with eye care technology for long coding sessions.,monitor,8990
23,Glorious Model O Wireless,Lightweight honeycomb wireless gaming mouse.,mouse,7999
24,Nintendo eShop Card $50,Digital gift card for Nintendo Switch games and DLC.,gift cards,4200
25,Ant Esports MK1000,Very cheap tenkeyless mechanical keyboard for budget gamers.,keyboard,1999
26,Samsung 980 PRO 1TB NVMe SSD,High-performance PCIe 4.0 storage for gaming PCs and PS5.,electronics,11500
27,Bose QuietComfort 45,Iconic noise canceling headphones with comfortable fit.,headphones,27900
28,Logitech G213 Prodigy,RGB membrane gaming keyboard with dedicated media controls.,keyboard,3995
29,Zebronics Zeb-Transformer Gaming Mouse,Budget gaming mouse with LED lighting.,mouse,499
30,Asus ROG Swift 360Hz Monitor,Ultra-fast premium esports monitor for professional gamers.,monitor,65000
31,Netflix Gift Card ₹1500,Prepaid subscription card for Netflix streaming service.,gift cards,1500
32,OnePlus Buds Z2,Active noise canceling true wireless earbuds with deep bass.,headphones,4999
